feature,score
SubstanceB_ratio,0.4945578642522283
SubstanceA_ratio,0.38757811537392783
SubstanceC_ratio,0.06549398016080536
SubstanceD_ratio,0.05237004021303851
SubstanceA_VR1_DzZ,0.0
SubstanceA_n12aRing,0.0
SubstanceA_VE3_D,0.0
SubstanceA_ATS0se,0.0
SubstanceA_MATS1se,0.0
SubstanceA_GATS2se,0.0
SubstanceA_AATS5pe,0.0
SubstanceA_ATSC1pe,0.0
SubstanceA_SpMAD_Dzpe,0.0
SubstanceA_SRW02,0.0
SubstanceA_MATS7pe,0.0
SubstanceA_NsssSiH,0.0
SubstanceA_ATSC5i,0.0
SubstanceA_ATSC7dv,0.0
SubstanceA_ATSC0m,0.0
SubstanceA_Sm,0.0
SubstanceA_ATS8i,0.0
SubstanceA_ETA_dEpsilon_B,0.0
SubstanceA_NaaN,0.0
SubstanceA_AATSC8p,0.0
SubstanceA_MINssCH2,0.0
SubstanceA_n12FAHRing,0.0
SubstanceA_VE1_D,0.0
SubstanceA_MZ,0.0
SubstanceA_NdO,0.0
SubstanceA_ZMIC0,0.0
SubstanceA_SssPbH2,0.0
SubstanceA_nFAHRing,0.0
SubstanceA_MDEC-22,0.0
SubstanceA_NsNH3,0.0
SubstanceA_SlogP_VSA6,0.0
SubstanceA_n4FaHRing,0.0
SubstanceA_ATSC7p,0.0
SubstanceA_AATSC1s,0.0
SubstanceA_SpMax_Dzi,0.0
SubstanceA_ATS8v,0.0
SubstanceA_VSA_EState2,0.0
SubstanceA_EState_VSA3,0.0
SubstanceA_AATS5p,0.0
SubstanceA_AATS0s,0.0
SubstanceA_ATSC6dv,0.0
SubstanceA_AATSC2s,0.0
SubstanceA_GATS5v,0.0
SubstanceA_LabuteASA,0.0
SubstanceA_MDEC-34,0.0
SubstanceA_AXp-1d,0.0
SubstanceA_AATSC6d,0.0
SubstanceA_EState_VSA2,0.0
SubstanceA_n11FAHRing,0.0
SubstanceA_nBondsT,0.0
SubstanceA_GATS1dv,0.0
SubstanceA_NsSiH3,0.0
SubstanceA_GATS3are,0.0
SubstanceA_AATS0pe,0.0
SubstanceA_SMR_VSA3,0.0
SubstanceA_ETA_epsilon_3,0.0
SubstanceA_GATS4v,0.0
SubstanceA_ATS5Z,0.0
SubstanceA_GATS2dv,0.0
SubstanceA_AATSC2m,0.0
SubstanceA_GATS7c,0.0
SubstanceA_JGI10,0.0
SubstanceA_AATS1dv,0.0
SubstanceA_MATS1dv,0.0
SubstanceA_MATS5dv,0.0
SubstanceA_ATS3are,0.0
SubstanceA_GATS1d,0.0
SubstanceA_BIC2,0.0
SubstanceA_EState_VSA1,0.0
SubstanceA_GATS5d,0.0
SubstanceA_AATSC0are,0.0
SubstanceA_GATS6are,0.0
SubstanceA_AATSC2are,0.0
SubstanceA_TIC1,0.0
SubstanceA_AATSC7i,0.0
SubstanceA_nFRing,0.0
SubstanceA_n4FHRing,0.0
SubstanceA_BCUTv-1h,0.0
SubstanceA_n7AHRing,0.0
SubstanceA_ETA_alpha,0.0
SubstanceA_ATSC8v,0.0
SubstanceA_n11FHRing,0.0
SubstanceA_ATS7d,0.0
SubstanceA_ATSC1m,0.0
SubstanceA_AATSC1i,0.0
SubstanceA_AATSC6v,0.0
SubstanceA_BCUTi-1l,0.0
SubstanceA_nFaHRing,0.0
SubstanceA_AATS4s,0.0
SubstanceA_MATS8c,0.0
SubstanceA_AXp-3d,0.0
SubstanceA_SsssPbH,0.0
SubstanceA_VE1_Dzse,0.0
SubstanceA_ATS6se,0.0
SubstanceA_MAXssO,0.0
SubstanceA_MATS6v,0.0
SubstanceA_GATS8s,0.0
SubstanceA_ETA_epsilon_1,0.0
SubstanceA_AMW,0.0
SubstanceA_AATS0se,0.0
SubstanceA_MWC05,0.0
SubstanceA_piPC1,0.0
SubstanceA_n11FaHRing,0.0
SubstanceA_AATSC4d,0.0
SubstanceA_n10FaRing,0.0
SubstanceA_ATSC4v,0.0
SubstanceA_ATS6Z,0.0
SubstanceA_MATS4p,0.0
SubstanceA_BCUTc-1h,0.0
SubstanceA_SsF,0.0
SubstanceA_EState_VSA9,0.0
SubstanceA_AATSC7pe,0.0
SubstanceA_ATSC7pe,0.0
SubstanceA_n10aHRing,0.0
SubstanceA_ATSC7m,0.0
SubstanceA_GATS6c,0.0
SubstanceA_ATS5s,0.0
SubstanceA_SlogP_VSA8,0.0
SubstanceA_SpAD_A,0.0
SubstanceA_ATS1Z,0.0
SubstanceA_SRW09,0.0
SubstanceA_MATS7are,0.0
SubstanceA_ATS7se,0.0
SubstanceA_ATS7v,0.0
SubstanceA_MATS1v,0.0
SubstanceA_AATS6i,0.0
SubstanceA_SsPH2,0.0
SubstanceA_n7FaHRing,0.0
SubstanceA_mZagreb1,0.0
SubstanceA_ATSC1v,0.0
SubstanceA_nAHRing,0.0
SubstanceA_PEOE_VSA13,0.0
SubstanceA_AATSC4se,0.0
SubstanceA_MATS1Z,0.0
SubstanceA_AATSC6Z,0.0
SubstanceA_MDEC-14,0.0
SubstanceA_n6HRing,0.0
SubstanceA_ATS8p,0.0
SubstanceA_GATS4c,0.0
SubstanceA_ATS4Z,0.0
SubstanceA_PEOE_VSA8,0.0
SubstanceA_n5FARing,0.0
SubstanceA_NsssP,0.0
SubstanceA_ATS6v,0.0
SubstanceA_MDEC-33,0.0
SubstanceA_SM1_Dzi,0.0
SubstanceA_n5AHRing,0.0
SubstanceA_AATSC7are,0.0
SubstanceA_ATS1p,0.0
SubstanceA_AATSC1c,0.0
SubstanceA_VSA_EState3,0.0
SubstanceA_ATSC6Z,0.0
SubstanceA_SpDiam_Dzare,0.0
SubstanceA_MATS7p,0.0
SubstanceA_AATS7se,0.0
SubstanceA_NdCH2,0.0
SubstanceA_SssCH2,0.0
SubstanceA_AATS3m,0.0
SubstanceA_NdNH,0.0
SubstanceA_nG12aHRing,0.0
SubstanceA_GATS8se,0.0
SubstanceA_GATS3i,0.0
SubstanceA_MIC3,0.0
SubstanceA_PEOE_VSA7,0.0
SubstanceA_TopoPSA,0.0
SubstanceA_NsOH,0.0
SubstanceA_n5Ring,0.0
SubstanceA_fMF,0.0
SubstanceA_NssssB,0.0
SubstanceA_SpAbs_Dzv,0.0
SubstanceA_ATSC5dv,0.0
SubstanceA_VE1_A,0.0
SubstanceA_GATS6p,0.0
SubstanceA_SsssCH,0.0
SubstanceA_GATS6pe,0.0
SubstanceA_SRW05,0.0
SubstanceA_NssSiH2,0.0
SubstanceA_GATS1v,0.0
SubstanceA_NsSnH3,0.0
SubstanceA_AATSC3Z,0.0
SubstanceA_n8FARing,0.0
SubstanceA_SssBH,0.0
SubstanceA_AATSC7dv,0.0
SubstanceA_SLogP,0.0
SubstanceA_AATSC0c,0.0
SubstanceA_NsLi,0.0
SubstanceA_Xp-5dv,0.0
SubstanceA_NsSeH,0.0
SubstanceA_MID_O,0.0
SubstanceA_Xp-2d,0.0
SubstanceA_NsssNH,0.0
SubstanceA_NaaO,0.0
SubstanceA_GATS2pe,0.0
SubstanceA_AATSC1v,0.0
SubstanceA_Xc-4d,0.0
SubstanceA_SaasC,0.0
SubstanceA_ATS7s,0.0
SubstanceA_ATSC1i,0.0
SubstanceA_AETA_beta_ns_d,0.0
SubstanceA_PEOE_VSA11,0.0
SubstanceA_MINaaCH,0.0
SubstanceA_NssssN,0.0
SubstanceA_n7FRing,0.0
SubstanceA_MID_N,0.0
SubstanceA_SsssN,0.0
SubstanceA_AATS3p,0.0
SubstanceA_SRW04,0.0
SubstanceA_NssGeH2,0.0
SubstanceA_AATSC7Z,0.0
SubstanceA_SlogP_VSA7,0.0
SubstanceA_SsssdAs,0.0
SubstanceA_GATS6s,0.0
SubstanceA_VE1_DzZ,0.0
SubstanceA_ETA_dEpsilon_C,0.0
SubstanceA_GATS8v,0.0
SubstanceA_SlogP_VSA5,0.0
SubstanceA_piPC9,0.0
SubstanceA_GATS3Z,0.0
SubstanceA_ATSC4m,0.0
SubstanceA_Xp-0d,0.0
SubstanceA_ATS8pe,0.0
SubstanceA_AATS7d,0.0
SubstanceA_MAXsssCH,0.0
SubstanceA_AATSC8v,0.0
SubstanceA_SpMAD_Dzm,0.0
SubstanceA_ATS6i,0.0
SubstanceA_ATSC8c,0.0
SubstanceA_GATS7i,0.0
SubstanceA_MATS2p,0.0
SubstanceA_ATSC0p,0.0
SubstanceA_MATS3v,0.0
SubstanceA_AATS6d,0.0
SubstanceA_AATSC3are,0.0
SubstanceA_MATS5m,0.0
SubstanceA_GATS5se,0.0
SubstanceA_LogEE_D,0.0
SubstanceA_SsssssAs,0.0
SubstanceA_VR2_Dzare,0.0
SubstanceA_nC,0.0
SubstanceA_MATS3i,0.0
SubstanceA_NddssS,0.0
SubstanceA_BIC1,0.0
SubstanceA_SIC3,0.0
SubstanceA_GGI8,0.0
SubstanceA_SsssGeH,0.0
SubstanceA_AATS4p,0.0
SubstanceA_BIC0,0.0
SubstanceA_AATS8are,0.0
SubstanceA_n9FaHRing,0.0
SubstanceA_ATS6m,0.0
SubstanceA_n9AHRing,0.0
SubstanceA_AATSC7p,0.0
SubstanceA_SMR_VSA9,0.0
SubstanceA_MATS3are,0.0
SubstanceA_AATS1i,0.0
SubstanceA_ATS1pe,0.0
SubstanceA_SssssSi,0.0
SubstanceA_AATS5m,0.0
SubstanceA_AATSC3c,0.0
SubstanceA_TSRW10,0.0
SubstanceA_n5HRing,0.0
SubstanceA_GATS5p,0.0
SubstanceA_AATSC1Z,0.0
SubstanceA_nG12AHRing,0.0
SubstanceA_n5FaHRing,0.0
SubstanceA_MATS3dv,0.0
SubstanceA_MW,0.0
SubstanceA_nG12FHRing,0.0
SubstanceA_NaaSe,0.0
SubstanceA_AATSC3s,0.0
SubstanceA_MATS8Z,0.0
SubstanceA_ATS2p,0.0
SubstanceA_SssNH,0.0
SubstanceA_CIC2,0.0
SubstanceA_SM1_Dzpe,0.0
SubstanceA_SssSiH2,0.0
SubstanceA_EState_VSA10,0.0
SubstanceA_AATSC2Z,0.0
SubstanceA_CIC5,0.0
SubstanceA_ATSC8pe,0.0
SubstanceA_MAXaaCH,0.0
SubstanceA_VE3_Dzpe,0.0
SubstanceA_n3AHRing,0.0
SubstanceA_SssAsH,0.0
SubstanceA_AATS8pe,0.0
SubstanceA_GATS3se,0.0
SubstanceA_IC5,0.0
SubstanceA_MWC02,0.0
SubstanceA_PEOE_VSA1,0.0
SubstanceA_n8ARing,0.0
SubstanceA_JGI9,0.0
SubstanceA_GATS6d,0.0
SubstanceA_n6FHRing,0.0
SubstanceA_SsCH3,0.0
SubstanceA_n7FARing,0.0
SubstanceA_nBondsKD,0.0
SubstanceA_ATSC4are,0.0
SubstanceA_EState_VSA8,0.0
SubstanceA_AATSC3i,0.0
SubstanceA_n10FRing,0.0
SubstanceA_MID_h,0.0
SubstanceA_ATS6pe,0.0
SubstanceA_ATS0p,0.0
SubstanceA_SpDiam_Dzp,0.0
SubstanceA_IC0,0.0
SubstanceA_VR1_Dzse,0.0
SubstanceA_ATSC8Z,0.0
SubstanceA_Xch-3dv,0.0
SubstanceA_AMID_N,0.0
SubstanceA_MATS1i,0.0
SubstanceA_nBondsD,0.0
SubstanceA_TpiPC10,0.0
SubstanceA_AETA_beta,0.0
SubstanceA_AATS3se,0.0
SubstanceA_AATSC6pe,0.0
SubstanceA_Mv,0.0
SubstanceA_n10FHRing,0.0
SubstanceA_SpMAD_Dzse,0.0
SubstanceA_NddC,0.0
SubstanceA_AATS0are,0.0
SubstanceA_n9ARing,0.0
SubstanceA_n6aRing,0.0
SubstanceA_AATSC3m,0.0
SubstanceA_SMR_VSA6,0.0
SubstanceA_nI,0.0
SubstanceA_ATSC6p,0.0
SubstanceA_MATS2s,0.0
SubstanceA_SpAbs_Dzp,0.0
SubstanceA_SpMax_Dzp,0.0
SubstanceA_NdsssP,0.0
SubstanceA_NssssBe,0.0
SubstanceA_GATS8d,0.0
SubstanceA_MATS2dv,0.0
SubstanceA_MPC9,0.0
SubstanceA_VE3_Dzare,0.0
SubstanceA_Sv,0.0
SubstanceA_SMR_VSA5,0.0
SubstanceA_AATSC6p,0.0
SubstanceA_AATS2d,0.0
SubstanceA_MATS4pe,0.0
SubstanceA_AETA_eta_BR,0.0
SubstanceA_SM1_DzZ,0.0
SubstanceA_AMID_O,0.0
SubstanceA_AATS1p,0.0
SubstanceA_SssS,0.0
SubstanceA_ETA_dBeta,0.0
SubstanceA_VR2_Dzm,0.0
SubstanceA_NsssGeH,0.0
SubstanceA_AATS8dv,0.0
SubstanceA_TopoShapeIndex,0.0
SubstanceA_VE3_Dzp,0.0
SubstanceA_VR2_Dzi,0.0
SubstanceA_Xp-2dv,0.0
SubstanceA_AATSC8dv,0.0
SubstanceA_GATS8are,0.0
SubstanceA_SssO,0.0
SubstanceA_SssGeH2,0.0
SubstanceA_ATS4p,0.0
SubstanceA_MATS2c,0.0
SubstanceA_Xpc-4dv,0.0
SubstanceA_NdsCH,0.0
SubstanceA_piPC3,0.0
SubstanceA_SpMax_Dzv,0.0
SubstanceA_ATSC5v,0.0
SubstanceA_nHRing,0.0
SubstanceA_ZMIC5,0.0
SubstanceA_SdCH2,0.0
SubstanceA_MATS7s,0.0
SubstanceA_NtCH,0.0
SubstanceA_ATSC6pe,0.0
SubstanceA_SaaaC,0.0
SubstanceA_SsssssP,0.0
SubstanceA_CIC0,0.0
SubstanceA_SsssNH,0.0
SubstanceA_AATS3s,0.0
SubstanceA_ETA_shape_y,0.0
SubstanceA_ATS0d,0.0
SubstanceA_SpMAD_D,0.0
SubstanceA_ATS5pe,0.0
SubstanceA_GATS7s,0.0
SubstanceA_GATS6se,0.0
SubstanceA_SRW07,0.0
SubstanceA_MATS4se,0.0
SubstanceA_MATS4d,0.0
SubstanceA_n3aRing,0.0
SubstanceA_ETA_epsilon_4,0.0
SubstanceA_ATSC8se,0.0
SubstanceA_Sse,0.0
SubstanceA_n9HRing,0.0
SubstanceA_n8FaHRing,0.0
SubstanceA_MATS2v,0.0
SubstanceA_MATS4Z,0.0
SubstanceA_AATS8m,0.0
SubstanceA_VR3_Dzpe,0.0
SubstanceA_nBondsS,0.0
SubstanceA_TIC3,0.0
SubstanceA_MATS5p,0.0
SubstanceA_AATS2p,0.0
SubstanceA_GATS7Z,0.0
SubstanceA_n3ARing,0.0
SubstanceA_SdSe,0.0
SubstanceA_NssNH2,0.0
SubstanceA_AATS5s,0.0
SubstanceA_SssssC,0.0
SubstanceA_nSpiro,0.0
SubstanceA_BCUTp-1l,0.0
SubstanceA_ZMIC4,0.0
SubstanceA_n12HRing,0.0
SubstanceA_AATS6p,0.0
SubstanceA_ATS6d,0.0
SubstanceA_nN,0.0
SubstanceA_GATS4i,0.0
SubstanceA_SpMax_Dzpe,0.0
SubstanceA_AATSC2d,0.0
SubstanceA_n11FRing,0.0
SubstanceA_AXp-0dv,0.0
SubstanceA_SaaS,0.0
SubstanceA_BCUTd-1l,0.0
SubstanceA_AATS6Z,0.0
SubstanceA_AATSC5dv,0.0
SubstanceA_Xp-4dv,0.0
SubstanceA_SRW03,0.0
SubstanceA_VR2_A,0.0
SubstanceA_MATS5pe,0.0
SubstanceA_n12FHRing,0.0
SubstanceA_GATS8c,0.0
SubstanceA_AATSC0se,0.0
SubstanceA_SaaN,0.0
SubstanceA_VR1_Dzi,0.0
SubstanceA_ATSC4p,0.0
SubstanceA_VSA_EState7,0.0
SubstanceA_ATSC3p,0.0
SubstanceA_MATS7i,0.0
SubstanceA_n7Ring,0.0
SubstanceA_MINsssCH,0.0
SubstanceA_SpMax_Dzm,0.0
SubstanceA_SIC4,0.0
SubstanceA_AETA_eta,0.0
SubstanceA_NssCH2,0.0
SubstanceA_AXp-6dv,0.0
SubstanceA_GATS1se,0.0
SubstanceA_ATSC2v,0.0
SubstanceA_MATS4v,0.0
SubstanceA_VR2_Dzpe,0.0
SubstanceA_ATSC7are,0.0
SubstanceA_NaaNH,0.0
SubstanceA_MATS8p,0.0
SubstanceA_SRW10,0.0
SubstanceA_GATS6v,0.0
SubstanceA_AATSC5p,0.0
SubstanceA_SddssSe,0.0
SubstanceA_GATS4p,0.0
SubstanceA_MATS7m,0.0
SubstanceA_C1SP1,0.0
SubstanceA_SMR_VSA8,0.0
SubstanceA_ATS3s,0.0
SubstanceA_AATSC2p,0.0
SubstanceA_ATS5se,0.0
SubstanceA_n9FaRing,0.0
SubstanceA_Xpc-5dv,0.0
SubstanceA_MATS1s,0.0
SubstanceA_BertzCT,0.0
SubstanceA_VE2_Dzv,0.0
SubstanceA_NssAsH,0.0
SubstanceA_ATS3i,0.0
SubstanceA_C2SP3,0.0
SubstanceA_SpAbs_Dzm,0.0
SubstanceA_MATS8d,0.0
SubstanceA_nBridgehead,0.0
SubstanceA_VE1_Dzpe,0.0
SubstanceA_n10HRing,0.0
SubstanceA_piPC8,0.0
SubstanceA_GATS3p,0.0
SubstanceA_AXp-4dv,0.0
SubstanceA_ATS7pe,0.0
SubstanceA_SssssGe,0.0
SubstanceA_n10FARing,0.0
SubstanceA_GATS3c,0.0
SubstanceA_VE1_Dzare,0.0
SubstanceA_MATS7d,0.0
SubstanceA_Lipinski,0.0
SubstanceA_AXp-7d,0.0
SubstanceA_MATS6c,0.0
SubstanceA_GATS2s,0.0
SubstanceA_MATS8i,0.0
SubstanceA_AATSC6dv,0.0
SubstanceA_ATSC0s,0.0
SubstanceA_AATS7pe,0.0
SubstanceA_AXp-2dv,0.0
SubstanceA_SpDiam_DzZ,0.0
SubstanceA_SssssN,0.0
SubstanceA_ATS5are,0.0
SubstanceA_MATS6p,0.0
SubstanceA_SdsssP,0.0
SubstanceA_MATS3d,0.0
SubstanceA_MATS1d,0.0
SubstanceA_MATS1are,0.0
SubstanceA_AATSC6i,0.0
SubstanceA_ATSC8s,0.0
SubstanceA_BCUTv-1l,0.0
SubstanceA_AETA_eta_L,0.0
SubstanceA_ATSC2dv,0.0
SubstanceA_GATS5pe,0.0
SubstanceA_ATSC2se,0.0
SubstanceA_NddssSe,0.0
SubstanceA_ATSC0Z,0.0
SubstanceA_MDEC-12,0.0
SubstanceA_PEOE_VSA6,0.0
SubstanceA_nG12FARing,0.0
SubstanceA_n6FARing,0.0
SubstanceA_NssPH,0.0
SubstanceA_piPC7,0.0
SubstanceA_VR1_D,0.0
