feature,score
SubstanceD_ratio,0.39638478462885723
SubstanceB_ratio,0.29058366555108894
SubstanceC_ratio,0.21525046909486514
SubstanceA_ratio,0.09778108072518875
SubstanceA_GGI3,0.0
SubstanceA_SsGeH3,0.0
SubstanceA_JGI5,0.0
SubstanceA_ATSC2v,0.0
SubstanceA_NsPbH3,0.0
SubstanceA_SsSeH,0.0
SubstanceA_MDEC-13,0.0
SubstanceA_ATSC5pe,0.0
SubstanceA_GATS5c,0.0
SubstanceA_MATS5are,0.0
SubstanceA_AATSC8d,0.0
SubstanceA_n8FaHRing,0.0
SubstanceA_Xp-2d,0.0
SubstanceA_ETA_dEpsilon_B,0.0
SubstanceA_VE2_A,0.0
SubstanceA_SlogP_VSA3,0.0
SubstanceA_SMR_VSA4,0.0
SubstanceA_AATS5Z,0.0
SubstanceA_Kier2,0.0
SubstanceA_ZMIC0,0.0
SubstanceA_ATS1s,0.0
SubstanceA_n4FaRing,0.0
SubstanceA_BertzCT,0.0
SubstanceA_JGI2,0.0
