feature,score
SubstanceA_ratio,0.4059392983421081
SubstanceB_ratio,0.3989063144841632
SubstanceD_ratio,0.10296168840106898
SubstanceC_ratio,0.09219269877265973
SubstanceB_VR1_DzZ,0.0
SubstanceB_n12aRing,0.0
SubstanceB_VE3_D,0.0
SubstanceB_ATS0se,0.0
SubstanceB_MATS1se,0.0
SubstanceB_GATS2se,0.0
SubstanceB_AATS5pe,0.0
SubstanceB_ATSC1pe,0.0
SubstanceB_SpMAD_Dzpe,0.0
SubstanceB_SRW02,0.0
SubstanceB_MATS7pe,0.0
SubstanceB_NsssSiH,0.0
SubstanceB_ATSC5i,0.0
SubstanceB_ATSC7dv,0.0
SubstanceB_ATSC0m,0.0
SubstanceB_Sm,0.0
SubstanceB_ATS8i,0.0
SubstanceB_ETA_dEpsilon_B,0.0
SubstanceB_NaaN,0.0
SubstanceB_AATSC8p,0.0
SubstanceB_MINssCH2,0.0
SubstanceB_n12FAHRing,0.0
SubstanceB_VE1_D,0.0
SubstanceB_MZ,0.0
SubstanceB_NdO,0.0
SubstanceB_ZMIC0,0.0
SubstanceB_SssPbH2,0.0
SubstanceB_nFAHRing,0.0
SubstanceB_MDEC-22,0.0
SubstanceB_NsNH3,0.0
SubstanceB_SlogP_VSA6,0.0
SubstanceB_n4FaHRing,0.0
SubstanceB_ATSC7p,0.0
SubstanceB_AATSC1s,0.0
SubstanceB_SpMax_Dzi,0.0
SubstanceB_ATS8v,0.0
SubstanceB_VSA_EState2,0.0
SubstanceB_EState_VSA3,0.0
SubstanceB_AATS5p,0.0
SubstanceB_AATS0s,0.0
SubstanceB_ATSC6dv,0.0
SubstanceB_AATSC2s,0.0
SubstanceB_GATS5v,0.0
SubstanceB_LabuteASA,0.0
SubstanceB_AXp-1d,0.0
SubstanceB_AATSC6d,0.0
SubstanceB_EState_VSA2,0.0
SubstanceB_n11FAHRing,0.0
SubstanceB_nBondsT,0.0
SubstanceB_GATS1dv,0.0
SubstanceB_NsSiH3,0.0
SubstanceB_GATS3are,0.0
SubstanceB_AATS0pe,0.0
SubstanceB_SMR_VSA3,0.0
SubstanceB_ETA_epsilon_3,0.0
SubstanceB_GATS4v,0.0
SubstanceB_ATS5Z,0.0
SubstanceB_GATS2dv,0.0
SubstanceB_AATSC2m,0.0
SubstanceB_GATS7c,0.0
SubstanceB_JGI10,0.0
SubstanceB_AATS1dv,0.0
SubstanceB_MATS1dv,0.0
SubstanceB_MATS5dv,0.0
SubstanceB_ATS3are,0.0
SubstanceB_GATS1d,0.0
SubstanceB_BIC2,0.0
SubstanceB_EState_VSA1,0.0
SubstanceB_GATS5d,0.0
SubstanceB_AATSC0are,0.0
SubstanceB_GATS6are,0.0
SubstanceB_AATSC2are,0.0
SubstanceB_TIC1,0.0
SubstanceB_AATSC7i,0.0
SubstanceB_nFRing,0.0
SubstanceB_n4FHRing,0.0
SubstanceB_BCUTv-1h,0.0
SubstanceB_n7AHRing,0.0
SubstanceB_ETA_alpha,0.0
SubstanceB_ATSC8v,0.0
SubstanceB_n11FHRing,0.0
SubstanceB_ATS7d,0.0
SubstanceB_ATSC1m,0.0
SubstanceB_AATSC1i,0.0
SubstanceB_AATSC6v,0.0
SubstanceB_BCUTi-1l,0.0
SubstanceB_nFaHRing,0.0
SubstanceB_AATS4s,0.0
SubstanceB_MATS8c,0.0
SubstanceB_AXp-3d,0.0
SubstanceB_SsssPbH,0.0
SubstanceB_VE1_Dzse,0.0
SubstanceB_ATS6se,0.0
SubstanceB_MATS6v,0.0
SubstanceB_GATS8s,0.0
SubstanceB_ETA_epsilon_1,0.0
SubstanceB_AMW,0.0
SubstanceB_AATS0se,0.0
SubstanceB_MWC05,0.0
SubstanceB_piPC1,0.0
SubstanceB_n11FaHRing,0.0
SubstanceB_AATSC4d,0.0
SubstanceB_n10FaRing,0.0
SubstanceB_ATSC4v,0.0
SubstanceB_ATS6Z,0.0
SubstanceB_MATS4p,0.0
SubstanceB_BCUTc-1h,0.0
SubstanceB_SsF,0.0
SubstanceB_EState_VSA9,0.0
SubstanceB_AATSC7pe,0.0
SubstanceB_ATSC7pe,0.0
SubstanceB_n10aHRing,0.0
SubstanceB_ATSC7m,0.0
SubstanceB_GATS6c,0.0
SubstanceB_ATS5s,0.0
SubstanceB_SlogP_VSA8,0.0
SubstanceB_SpAD_A,0.0
SubstanceB_ATS1Z,0.0
SubstanceB_SRW09,0.0
SubstanceB_MATS7are,0.0
SubstanceB_ATS7se,0.0
SubstanceB_ATS7v,0.0
SubstanceB_MATS1v,0.0
SubstanceB_AATS6i,0.0
SubstanceB_SsPH2,0.0
SubstanceB_n7FaHRing,0.0
SubstanceB_mZagreb1,0.0
SubstanceB_ATSC1v,0.0
SubstanceB_nAHRing,0.0
SubstanceB_PEOE_VSA13,0.0
SubstanceB_AATSC4se,0.0
SubstanceB_MATS1Z,0.0
SubstanceB_AATSC6Z,0.0
SubstanceB_n6HRing,0.0
SubstanceB_ATS8p,0.0
SubstanceB_GATS4c,0.0
SubstanceB_ATS4Z,0.0
SubstanceB_PEOE_VSA8,0.0
SubstanceB_n5FARing,0.0
SubstanceB_NsssP,0.0
SubstanceB_ATS6v,0.0
SubstanceB_SM1_Dzi,0.0
SubstanceB_n5AHRing,0.0
SubstanceB_AATSC7are,0.0
SubstanceB_ATS1p,0.0
SubstanceB_AATSC1c,0.0
SubstanceB_VSA_EState3,0.0
SubstanceB_ATSC6Z,0.0
SubstanceB_SpDiam_Dzare,0.0
SubstanceB_MATS7p,0.0
SubstanceB_AATS7se,0.0
SubstanceB_NdCH2,0.0
SubstanceB_SssCH2,0.0
SubstanceB_AATS3m,0.0
SubstanceB_NdNH,0.0
SubstanceB_nG12aHRing,0.0
SubstanceB_GATS8se,0.0
SubstanceB_GATS3i,0.0
SubstanceB_MIC3,0.0
SubstanceB_PEOE_VSA7,0.0
SubstanceB_TopoPSA,0.0
SubstanceB_NsOH,0.0
SubstanceB_n5Ring,0.0
SubstanceB_fMF,0.0
SubstanceB_NssssB,0.0
SubstanceB_SpAbs_Dzv,0.0
SubstanceB_ATSC5dv,0.0
SubstanceB_VE1_A,0.0
SubstanceB_GATS6p,0.0
SubstanceB_SsssCH,0.0
SubstanceB_GATS6pe,0.0
SubstanceB_SRW05,0.0
SubstanceB_NssSiH2,0.0
SubstanceB_GATS1v,0.0
SubstanceB_NsSnH3,0.0
SubstanceB_AATSC3Z,0.0
SubstanceB_n8FARing,0.0
SubstanceB_SssBH,0.0
SubstanceB_AATSC7dv,0.0
SubstanceB_SLogP,0.0
SubstanceB_AATSC0c,0.0
SubstanceB_NsLi,0.0
SubstanceB_Xp-5dv,0.0
SubstanceB_NsSeH,0.0
SubstanceB_MID_O,0.0
SubstanceB_Xp-2d,0.0
SubstanceB_NsssNH,0.0
SubstanceB_NaaO,0.0
SubstanceB_GATS2pe,0.0
SubstanceB_AATSC1v,0.0
SubstanceB_Xc-4d,0.0
SubstanceB_SaasC,0.0
SubstanceB_ATS7s,0.0
SubstanceB_ATSC1i,0.0
SubstanceB_AETA_beta_ns_d,0.0
SubstanceB_PEOE_VSA11,0.0
SubstanceB_NssssN,0.0
SubstanceB_n7FRing,0.0
SubstanceB_MID_N,0.0
SubstanceB_SsssN,0.0
SubstanceB_AATS3p,0.0
SubstanceB_SRW04,0.0
SubstanceB_NssGeH2,0.0
SubstanceB_AATSC7Z,0.0
SubstanceB_SlogP_VSA7,0.0
SubstanceB_SsssdAs,0.0
SubstanceB_GATS6s,0.0
SubstanceB_VE1_DzZ,0.0
SubstanceB_ETA_dEpsilon_C,0.0
SubstanceB_GATS8v,0.0
SubstanceB_SlogP_VSA5,0.0
SubstanceB_piPC9,0.0
SubstanceB_GATS3Z,0.0
SubstanceB_ATSC4m,0.0
SubstanceB_Xp-0d,0.0
SubstanceB_ATS8pe,0.0
SubstanceB_AATS7d,0.0
SubstanceB_AATSC8v,0.0
SubstanceB_SpMAD_Dzm,0.0
SubstanceB_ATS6i,0.0
SubstanceB_ATSC8c,0.0
SubstanceB_GATS7i,0.0
SubstanceB_MATS2p,0.0
SubstanceB_ATSC0p,0.0
SubstanceB_MATS3v,0.0
SubstanceB_AATS6d,0.0
SubstanceB_AATSC3are,0.0
SubstanceB_MATS5m,0.0
SubstanceB_GATS5se,0.0
SubstanceB_LogEE_D,0.0
SubstanceB_SsssssAs,0.0
SubstanceB_VR2_Dzare,0.0
SubstanceB_nC,0.0
SubstanceB_MATS3i,0.0
SubstanceB_NddssS,0.0
SubstanceB_BIC1,0.0
SubstanceB_SIC3,0.0
SubstanceB_GGI8,0.0
SubstanceB_SsssGeH,0.0
SubstanceB_AATS4p,0.0
SubstanceB_BIC0,0.0
SubstanceB_AATS8are,0.0
SubstanceB_n9FaHRing,0.0
SubstanceB_ATS6m,0.0
SubstanceB_n9AHRing,0.0
SubstanceB_AATSC7p,0.0
SubstanceB_SMR_VSA9,0.0
SubstanceB_MATS3are,0.0
SubstanceB_AATS1i,0.0
SubstanceB_ATS1pe,0.0
SubstanceB_SssssSi,0.0
SubstanceB_AATS5m,0.0
SubstanceB_AATSC3c,0.0
SubstanceB_TSRW10,0.0
SubstanceB_n5HRing,0.0
SubstanceB_GATS5p,0.0
SubstanceB_AATSC1Z,0.0
SubstanceB_nG12AHRing,0.0
SubstanceB_n5FaHRing,0.0
SubstanceB_MATS3dv,0.0
SubstanceB_MW,0.0
SubstanceB_nG12FHRing,0.0
SubstanceB_NaaSe,0.0
SubstanceB_AATSC3s,0.0
SubstanceB_MATS8Z,0.0
SubstanceB_ATS2p,0.0
SubstanceB_SssNH,0.0
SubstanceB_CIC2,0.0
SubstanceB_SM1_Dzpe,0.0
SubstanceB_SssSiH2,0.0
