feature,score
SubstanceB_ratio,0.4122580160905828
SubstanceA_ratio,0.29557439406074054
SubstanceC_ratio,0.1400633973979302
SubstanceC_GATS7d,0.009085869646278132
SubstanceC_ATSC4i,0.009049846049509938
SubstanceC_AXp-2d,0.007706139896957707
SubstanceC_MPC10,0.006678016150762666
SubstanceC_ETA_eta_B,0.006123613331231261
SubstanceC_MATS6m,0.004679557837452273
SubstanceC_VE3_Dzp,0.004419903905062462
SubstanceC_ATSC2m,0.004377934310548343
SubstanceC_AXp-7dv,0.0042146622356264984
SubstanceC_GATS2Z,0.00420185145685758
SubstanceC_AATSC2Z,0.004167186374311004
SubstanceC_MATS5pe,0.004125393690746404
SubstanceC_AATS4are,0.0039857165267809715
SubstanceC_ATSC8m,0.003867739865276989
SubstanceC_AATSC2s,0.0038193963955235506
SubstanceC_CIC2,0.0037200629397216964
SubstanceC_ATS0v,0.0036920404633847483
SubstanceC_AATS5pe,0.003471681884836664
SubstanceC_VR1_Dzse,0.0031321438109729468
SubstanceC_VE2_Dzm,0.0029502531957266067
SubstanceC_SlogP_VSA11,0.002854660092109479
SubstanceC_Xp-4dv,0.002839343658477847
SubstanceC_TSRW10,0.0028274693045971504
SubstanceC_AATS2v,0.0027944118971068707
SubstanceC_ATS0pe,0.0026925745347611287
SubstanceC_ATS4dv,0.0026799511661607864
SubstanceC_VE3_Dzi,0.0026577527535319103
SubstanceC_ATS7dv,0.0026283032154143984
SubstanceC_nRot,0.0025533729316092237
SubstanceC_GATS2v,0.0025335927233451623
SubstanceC_EState_VSA3,0.0023280099039862485
SubstanceC_GATS8Z,0.0019802928499428477
SubstanceC_AATS2Z,0.0019367945805489584
SubstanceC_ATSC0m,0.00179647046839902
SubstanceC_GATS3dv,0.0017722225735733045
SubstanceC_ATS0p,0.0017108984563779402
SubstanceC_AATSC3c,0.0016599510950678898
SubstanceC_GATS3d,0.0016570803293059395
SubstanceC_AATSC5pe,0.0016326288616961902
SubstanceC_Radius,0.0014336600694770192
SubstanceC_AATSC7p,0.001337451736217363
SubstanceC_CIC1,0.0012366550796893954
SubstanceC_SsssCH,0.0010774248468627611
SubstanceC_C3SP2,0.0010675708531750188
SubstanceC_AATS1s,0.0010648847369757546
SubstanceC_ETA_dEpsilon_C,0.0009921465452284392
SubstanceC_AATS3p,0.000932531368108866
SubstanceC_AATS0Z,0.0007008708552301406
SubstanceC_AATSC8c,0.0003219557203267936
SubstanceC_MATS3c,0.0002233898159749286
SubstanceC_Xp-6dv,0.0001887821874771287
SubstanceC_ATSC4p,0.00017664905399944058
SubstanceC_AATS0v,7.911601375203345e-05
SubstanceC_ATS2m,7.831793217192034e-05
SubstanceC_ETA_beta_s,7.577636704772235e-05
SubstanceC_AATSC4p,4.0792287208333415e-05
SubstanceC_MATS7pe,3.979700633516953e-05
SubstanceC_ATSC3se,2.2510526120932373e-05
SubstanceC_VSA_EState7,4.876760714089443e-06
SubstanceC_ATS6Z,2.2032324567475145e-06
SubstanceC_CIC5,2.0380926158560865e-06
SubstanceC_AATSC5se,1.0507319822431758e-16
SubstanceC_LogEE_Dzm,0.0
SubstanceC_Mi,0.0
