,SubstanceA_name,SubstanceA_SMILE,SubstanceA_ratio,,SubstanceB_name,SubstanceB_SMILE,SubstanceB_ratio,,SubstanceC_name,SubstanceC_SMILE,SubstanceC_ratio,,SubstanceD_name,SubstanceD_SMILE,SubstanceD_ratio,,Target_alpha_tg,Target_beta_impactstrength,Target_gamma_elongation
1,南亚127e,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,0.60 ,,凯赛1，5戊二胺,NCCCCCN,0.30 ,,稀释剂o-CGE,CC1=CC=CC=C1OCC2OC2,0.00 ,,溶剂苯甲醇,OCC1=CC=CC=C1,0.01 ,,80.00 ,110.00 ,1.40 
2,南亚127e,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,0.70 ,,凯赛1，5戊二胺,NCCCCCN,0.20 ,,稀释剂AGE,CCCCCCCCCCCCOCC1OC1,0.01 ,,溶剂乙二醇,,0.01 ,,90.00 ,100.00 ,1.10 
3,南亚127e,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,0.80 ,,凯赛1，5戊二胺,NCCCCCN,0.10 ,,稀释剂o-CGE,CC1=CC=CC=C1OCC2OC2,0.01 ,,溶剂苯甲醇,OCC1=CC=CC=C1,0.01 ,,60.00 ,120.00 ,2.00 
4,南亚127e,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,0.70 ,,凯赛1，5戊二胺,NCCCCCN,0.15 ,,稀释剂o-CGE,CC1=CC=CC=C1OCC2OC2,0.01 ,,溶剂苯甲醇,OCC1=CC=CC=C1,0.01 ,,20.00 ,300.00 ,3.00 
5,南亚127e,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,0.60 ,,凯赛1，5戊二胺,NCCCCCN,0.30 ,,稀释剂AGE,CCCCCCCCCCCCOCC1OC1,0.01 ,,溶剂苯甲醇,OCC1=CC=CC=C1,0.01 ,,86.00 ,110.00 ,1.40 
6,南亚127e,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,0.70 ,,凯赛1，5戊二胺,NCCCCCN,0.20 ,,稀释剂AGE,CCCCCCCCCCCCOCC1OC1,0.02 ,,溶剂苯甲醇,OCC1=CC=CC=C1,0.01 ,,100.00 ,100.00 ,1.10 
7,南亚127e,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,0.80 ,,凯赛1，5戊二胺,NCCCCCN,0.10 ,,稀释剂AGE,CCCCCCCCCCCCOCC1OC1,0.01 ,,溶剂乙二醇,OCCO,0.01 ,,74.00 ,120.00 ,2.00 
8,南亚127e,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,0.70 ,,IPDA（异弗尔酮二胺）,NC1CC(C)(CN)CC(C)(C)C1,0.20 ,,稀释剂AGE,CCCCCCCCCCCCOCC1OC1,0.01 ,,溶剂乙二醇,OCCO,0.01 ,,60.00 ,86.00 ,2.10 
9,南亚127e,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,0.60 ,,IPDA（异弗尔酮二胺）,NC1CC(C)(CN)CC(C)(C)C1,0.25 ,,稀释剂o-CGE,CC1=CC=CC=C1OCC2OC2,0.01 ,,溶剂乙二醇,OCCO,0.01 ,,74.00 ,90.00 ,4.00 
10,南亚127e,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,0.70 ,,IPDA（异弗尔酮二胺）,NC1CC(C)(CN)CC(C)(C)C1,0.10 ,,稀释剂AGE,CCCCCCCCCCCCOCC1OC1,0.01 ,,溶剂乙二醇,OCCO,0.01 ,,55.00 ,115.00 ,3.10 
11,南亚127e,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,0.80 ,,IPDA（异弗尔酮二胺）,NC1CC(C)(CN)CC(C)(C)C1,0.15 ,,稀释剂o-CGE,CC1=CC=CC=C1OCC2OC2,0.02 ,,溶剂乙二醇,OCCO,0.01 ,,66.80 ,121.00 ,2.20 
12,南亚127e,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,0.70 ,,IPDA（异弗尔酮二胺）,NC1CC(C)(CN)CC(C)(C)C1,0.25 ,,稀释剂AGE,CCCCCCCCCCCCOCC1OC1,0.04 ,,溶剂乙二醇,OCCO,0.01 ,,87.20 ,100.00 ,2.20 
